#Noise_Scale Train_steps Accuracy
0.05 3000 0.995333
0.1 3000 0.996
0.2 3000 0.996
0.4 3000 0.995667
0.8 3000 0.990667
1.5 3000 0.981667
3.0 3000 0.825
0.05 3500 0.996333
0.1 3500 0.997
0.2 3500 0.994
0.4 3500 0.978
0.8 3500 0.992333
1.5 3500 0.986667
3.0 3500 0.843
0.05 4000 0.994333
0.1 4000 0.995667
0.2 4000 0.995667
0.4 4000 0.993
0.8 4000 0.971333
1.5 4000 0.982333
3.0 4000 0.929333
0.05 4500 0.997333
0.1 4500 0.998333
0.2 4500 0.996333
0.4 4500 0.994333
0.8 4500 0.987333
1.5 4500 0.985
3.0 4500 0.904333
0.05 5000 0.993667
0.1 5000 0.997667
0.2 5000 0.996333
0.4 5000 0.994667
0.8 5000 0.991667
1.5 5000 0.985667
3.0 5000 0.923667
