#Train_steps Sequence_size Downsample_Divisor Accuracy
1 12000 6 0.175333
500 12000 6 0.870333
1000 12000 6 0.938333
1500 12000 6 0.973
2000 12000 6 0.976667
2500 12000 6 0.990333
3000 12000 6 0.988667
3500 12000 6 0.991
4000 12000 6 0.992667
4500 12000 6 0.986
5000 12000 6 0.994333
1 6000 6 0.144667
500 6000 6 0.924333
1000 6000 6 0.957667
1500 6000 6 0.968
2000 6000 6 0.981
2500 6000 6 0.984667
3000 6000 6 0.991333
3500 6000 6 0.988667
4000 6000 6 0.979
4500 6000 6 0.980333
5000 6000 6 0.983333
1 3000 6 0.148
500 3000 6 0.872333
1000 3000 6 0.968667
1500 3000 6 0.98
2000 3000 6 0.983333
2500 3000 6 0.985
3000 3000 6 0.986667
3500 3000 6 0.986333
4000 3000 6 0.987
4500 3000 6 0.986
5000 3000 6 0.985667
1 1000 6 0.166
500 1000 6 0.910333
1000 1000 6 0.945667
1500 1000 6 0.950333
2000 1000 6 0.948667
2500 1000 6 0.949667
3000 1000 6 0.950667
3500 1000 6 0.949667
4000 1000 6 0.950667
4500 1000 6 0.951
5000 1000 6 0.949
1 500 6 0.181667
500 500 6 0.881333
1000 500 6 0.918333
1500 500 6 0.914333
2000 500 6 0.913333
2500 500 6 0.912
3000 500 6 0.911667
3500 500 6 0.910667
4000 500 6 0.906667
4500 500 6 0.905
5000 500 6 0.902667
1 100 6 0.149333
500 100 6 0.681667
1000 100 6 0.678667
1500 100 6 0.673667
2000 100 6 0.673
2500 100 6 0.675
3000 100 6 0.679667
3500 100 6 0.678
4000 100 6 0.676667
4500 100 6 0.676667
5000 100 6 0.676
1 12000 12 0.162
500 12000 12 0.832333
1000 12000 12 0.947333
1500 12000 12 0.956333
2000 12000 12 0.982667
2500 12000 12 0.961333
3000 12000 12 0.990333
3500 12000 12 0.988333
4000 12000 12 0.987333
4500 12000 12 0.990333
5000 12000 12 0.985333
1 6000 12 0.168667
500 6000 12 0.708333
1000 6000 12 0.918667
1500 6000 12 0.957333
2000 6000 12 0.971333
2500 6000 12 0.975667
3000 6000 12 0.982667
3500 6000 12 0.991333
4000 6000 12 0.983
4500 6000 12 0.987667
5000 6000 12 0.986
1 3000 12 0.137667
500 3000 12 0.643667
1000 3000 12 0.939
1500 3000 12 0.952
2000 3000 12 0.974
2500 3000 12 0.947667
3000 3000 12 0.975667
3500 3000 12 0.991667
4000 3000 12 0.99
4500 3000 12 0.989667
5000 3000 12 0.989333
1 1000 12 0.166
500 1000 12 0.816667
1000 1000 12 0.917
1500 1000 12 0.944
2000 1000 12 0.942
2500 1000 12 0.941
3000 1000 12 0.942
3500 1000 12 0.940667
4000 1000 12 0.940667
4500 1000 12 0.941
5000 1000 12 0.942333
1 500 12 0.157667
500 500 12 0.826
1000 500 12 0.905
1500 500 12 0.903
2000 500 12 0.905667
2500 500 12 0.904667
3000 500 12 0.905333
3500 500 12 0.905
4000 500 12 0.906667
4500 500 12 0.907
5000 500 12 0.906333
1 100 12 0.195
500 100 12 0.655667
1000 100 12 0.638667
1500 100 12 0.638667
2000 100 12 0.639667
2500 100 12 0.641
3000 100 12 0.641
3500 100 12 0.642333
4000 100 12 0.642
4500 100 12 0.641333
5000 100 12 0.642
1 12000 60 0.152333
500 12000 60 0.22
1000 12000 60 0.636
1500 12000 60 0.834667
2000 12000 60 0.901333
2500 12000 60 0.921
3000 12000 60 0.946333
3500 12000 60 0.956333
4000 12000 60 0.962
4500 12000 60 0.965333
5000 12000 60 0.944
1 6000 60 0.164333
500 6000 60 0.185333
1000 6000 60 0.693
1500 6000 60 0.862667
2000 6000 60 0.91
2500 6000 60 0.929667
3000 6000 60 0.955333
3500 6000 60 0.93
4000 6000 60 0.956333
4500 6000 60 0.969333
5000 6000 60 0.953
1 3000 60 0.163333
500 3000 60 0.206333
1000 3000 60 0.719333
1500 3000 60 0.877667
2000 3000 60 0.933667
2500 3000 60 0.925333
3000 3000 60 0.944333
3500 3000 60 0.934333
4000 3000 60 0.959667
4500 3000 60 0.96
5000 3000 60 0.967
1 1000 60 0.179667
500 1000 60 0.344333
1000 1000 60 0.832
1500 1000 60 0.892
2000 1000 60 0.897
2500 1000 60 0.917333
3000 1000 60 0.910333
3500 1000 60 0.923
4000 1000 60 0.921667
4500 1000 60 0.918667
5000 1000 60 0.918333
1 500 60 0.164333
500 500 60 0.457333
1000 500 60 0.800333
1500 500 60 0.872667
2000 500 60 0.879667
2500 500 60 0.878667
3000 500 60 0.877333
3500 500 60 0.874667
4000 500 60 0.873
4500 500 60 0.872
5000 500 60 0.874
1 100 60 0.163333
500 100 60 0.513333
1000 100 60 0.630667
1500 100 60 0.633
2000 100 60 0.624
2500 100 60 0.621333
3000 100 60 0.622333
3500 100 60 0.622333
4000 100 60 0.621667
4500 100 60 0.621
5000 100 60 0.621
