#Train_steps I_or_Q Accuracy
#Second Column 1 is using both I and Q
#2 is I only and 3 is Q only
1 1 0.182
500 1 0.904667
1000 1 0.962333
1500 1 0.982
2000 1 0.984667
2500 1 0.982667
3000 1 0.985333
3500 1 0.988667
4000 1 0.994333
4500 1 0.993
5000 1 0.995
1 2 0.192
500 2 0.844667
1000 2 0.954
1500 2 0.972667
2000 2 0.980667
2500 2 0.979
3000 2 0.990667
3500 2 0.991333
4000 2 0.994333
4500 2 0.993333
5000 2 0.992333
1 3 0.175333
500 3 0.844667
1000 3 0.941
1500 3 0.969
2000 3 0.977333
2500 3 0.986333
3000 3 0.989333
3500 3 0.991333
4000 3 0.991333
4500 3 0.990667
5000 3 0.989667
