#Train_steps Interference-a Accuracy
1 0.1 0.202333
500 0.1 0.927
1000 0.1 0.969667
1500 0.1 0.989667
2000 0.1 0.989333
2500 0.1 0.991333
3000 0.1 0.995
3500 0.1 0.99
4000 0.1 0.996667
4500 0.1 0.997
5000 0.1 0.997
1 0.2 0.187
500 0.2 0.88
1000 0.2 0.949667
1500 0.2 0.976667
2000 0.2 0.978333
2500 0.2 0.989
3000 0.2 0.989667
3500 0.2 0.992333
4000 0.2 0.988
4500 0.2 0.992
5000 0.2 0.979667
1 0.5 0.157
500 0.5 0.517
1000 0.5 0.759333
1500 0.5 0.857667
2000 0.5 0.915667
2500 0.5 0.92
3000 0.5 0.931333
3500 0.5 0.929333
4000 0.5 0.940667
4500 0.5 0.945333
5000 0.5 0.943667
1 1.0 0.188
500 1.0 0.234667
1000 1.0 0.340667
1500 1.0 0.430667
2000 1.0 0.438667
2500 1.0 0.482667
3000 1.0 0.469667
3500 1.0 0.487667
4000 1.0 0.498667
4500 1.0 0.513667
5000 1.0 0.485
