#Noise Train_Steps Accuracy
1.5 1 0.141
1.5 500 0.755
1.5 1000 0.811667
1.5 1500 0.917667
1.5 2000 0.952333
1.5 2500 0.98
1.5 3000 0.976
1.5 3500 0.982
1.5 4000 0.980667
1.5 4500 0.986333
1.5 5000 0.985667
1.5 5500 0.981333
1.5 6000 0.990333
1.5 6500 0.989
1.5 7000 0.991
1.5 7500 0.989333
3.0 1 0.177
3.0 500 0.737667
3.0 1000 0.764333
3.0 1500 0.764667
3.0 2000 0.771333
3.0 2500 0.794667
3.0 3000 0.808667
3.0 3500 0.842
3.0 4000 0.904
3.0 4500 0.933333
3.0 5000 0.948667
3.0 5500 0.958
3.0 6000 0.957
3.0 6500 0.946667
3.0 7000 0.964
3.0 7500 0.963333
5.0 1 0.175
5.0 500 0.724333
5.0 1000 0.753
5.0 1500 0.756
5.0 2000 0.767667
5.0 2500 0.763
5.0 3000 0.763667
5.0 3500 0.772
5.0 4000 0.765333
5.0 4500 0.770667
5.0 5000 0.777
5.0 5500 0.762333
5.0 6000 0.787
5.0 6500 0.773333
5.0 7000 0.795333
5.0 7500 0.838667
5.0 8000 0.852333
5.0 8500 0.842
5.0 9000 0.866333
5.0 9500 0.898333
5.0 10000 0.883667
